problem_id,category,usaco
10810,simulation,False
10813,simulation,False
10811,simulation,False
1547,simulation,False
10103,simulation,False
2979,simulation,False
10812,simulation,False
1173,simulation,False
1551,simulation,False
1333,simulation,False
12756,simulation,False
16675,simulation,False
14920,simulation,False
1672,simulation,False
1244,simulation,False
10709,simulation,False
3048,simulation,False
5212,simulation,False
1331,simulation,False
8911,simulation,False
10431,simulation,False
1713,simulation,False
1063,simulation,False
2578,simulation,False
14175,simulation,True
11971,simulation,True
14530,simulation,True
15464,simulation,True
16770,simulation,True
17041,simulation,True
12000,simulation,True
14174,simulation,True
15763,simulation,True
11978,simulation,True
15465,simulation,True
20652,simulation,True
